MakeValue|ModelValue|ModelGroup|Model_Description|MotorType|SumInsured|ClaimTypeValue|CC|Seat|Weight|AgeDriver|AgeCar|AgeCarMax|BasePremium|MainPremium|EndorsePremium01|EndorsePremium02|EndorsePremium03|DriverDiscountRate|DriverDiscount|GroupDiscountRate|GroupDiscountAmt|HistoryDiscountRate|HistoryDiscountAmt|OtherDiscountRate|OtherDiscountAmt|PlusPremium1|PlusPremium2|NetPremium|Stamp|VAT|TotalPremium|DeductAmt|FIRE&THEFT|TPPI_P|TPPI_C|TPPD|Bail Bond|PA_Driver|PA_Passengers|MED|CommissionRate|PromotionDiscountRate|PromotionDiscountAmt|PromotionEffectiveDate|PromotionExpiryDate|CarGroup|ProductType
Chevrolet|Sonic|Sonic|Hatch 4dr LTZ Auto 6sp FWD 1.6i|110|560000|02|1600|7|||1|5||||||||||||||||18151.00|73.00|1275.68|19500.00||560000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||5|1
Chevrolet|Trailblazer|Trailblazer|Wagon 4dr LT 7st Man 5sp FWD 2.5DCT|110|840000|02|2500|7|||1|5||||||||||||||||21875.00|88.00|1537.41|23500.00||840000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Trailblazer|Trailblazer|Wagon 4dr LT 7st Auto 6sp FWD 2.8DCT|110|990000|02|2800|7|||1|5||||||||||||||||23271.00|94.00|1635.55|25000.00||990000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Trailblazer|Trailblazer|Wagon 4dr LT 7st Auto 6sp 4WD 2.8DCT|110|1030000|02|2800|7|||1|5||||||||||||||||24667.00|99.00|1733.62|26500.00||1030000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Trailblazer|Trailblazer|Wagon 4dr LTZ 7st Auto 6sp 4WD 2.8DCT|110|1110000|02|2800|7|||1|5||||||||||||||||26063.00|105.00|1831.76|28000.00||1110000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Trailblazer|Trailblazer|Wagon 4dr LTZ 1 7st Auto 6sp 4WD 2.8DCT|110|1190000|02|2800|7|||1|5||||||||||||||||26063.00|105.00|1831.76|28000.00||1190000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Trailblazer|Trailblazer|Wagon 4dr LTZ 7st Auto 6sp FWD 2.8DCT|110|1050000|02|2800|7|||1|5||||||||||||||||24667.00|99.00|1733.62|26500.00||1050000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Trailblazer|Trailblazer|Wagon 4dr LTZ 1 7st Auto 6sp FWD 2.8DCT|110|1090000|02|2800|7|||1|5||||||||||||||||24667.00|99.00|1733.62|26500.00||1090000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Colorado_2DR|Colorado|Pickup 2dr Single Cab LS Man 6sp RWD 2.5DCT|210|450000|02|2500|3|3000||1|5||||||||||||||||17220.00|69.00|1210.23|18500.00||450000|500000.00|10000000.00|1000000.00|200000.00|50000.00|50000.00|50000.00|23.00%||||||1
Chevrolet|Colorado_2DR|Colorado|Pickup 2dr Ext. Cab LS1 Man 6sp RWD 2.5DCT|210|480000|02|2500|3|3000||1|5||||||||||||||||17220.00|69.00|1210.23|18500.00||480000|500000.00|10000000.00|1000000.00|200000.00|50000.00|50000.00|50000.00|23.00%||||||1
Chevrolet|Colorado_2DR|Colorado|Pickup 2dr Ext. Cab LT Man 6sp RWD 2.5DCT|210|510000|02|2500|3|3000||1|5||||||||||||||||18151.00|73.00|1275.68|19500.00||510000|500000.00|10000000.00|1000000.00|200000.00|50000.00|50000.00|50000.00|23.00%||||||1
Chevrolet|Colorado_2DR|Colorado|Pickup 2dr Ext. Cab LT Z71 Man 6sp 4WD 2.5DCT|210|590000|02|2500|3|3000||1|5||||||||||||||||18151.00|73.00|1275.68|19500.00||590000|500000.00|10000000.00|1000000.00|200000.00|50000.00|50000.00|50000.00|23.00%||||||1
Chevrolet|Colorado_2DR|Colorado|Pickup 2dr Ext. Cab LT Z71 Man 6sp RWD 2.5DCT|210|550000|02|2500|3|3000||1|5||||||||||||||||18151.00|73.00|1275.68|19500.00||550000|500000.00|10000000.00|1000000.00|200000.00|50000.00|50000.00|50000.00|23.00%||||||1
Chevrolet|Colorado_4DR|Colorado|Pickup 4dr DCab LS1 Man 6sp RWD 2.5DCT|110|520000|02|2500|7|||1|5||||||||||||||||17686.00|71.00|1242.99|19000.00||520000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Colorado_4DR|Colorado|Pickup 4dr DCab LT Man 6sp RWD 2.5DCT|110|580000|02|2500|7|||1|5||||||||||||||||17686.00|71.00|1242.99|19000.00||580000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Colorado_4DR|Colorado|Pickup 4dr DCab LTZ Man 6sp RWD 2.8DCT|110|630000|02|2800|7|||1|5||||||||||||||||19082.00|77.00|1341.13|20500.00||630000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Colorado_4DR|Colorado|Pickup 4dr DCab LT Z71 Man 6sp RWD 2.5DCT|110|610000|02|2500|7|||1|5||||||||||||||||19082.00|77.00|1341.13|20500.00||610000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Colorado_4DR|Colorado|Pickup 4dr DCab LT Z71 Man 6sp RWD 2.8DCT|110|620000|02|2800|7|||1|5||||||||||||||||19082.00|77.00|1341.13|20500.00||620000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Colorado_4DR|Colorado|Pickup 4dr DCab LT Z71 Man 6sp 4WD 2.5DCT|110|640000|02|2500|7|||1|5||||||||||||||||19082.00|77.00|1341.13|20500.00||640000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Colorado_4DR|Colorado|Pickup 4dr DCab LT Z71 Auto 6sp RWD 2.8DCT|110|660000|02|2800|7|||1|5||||||||||||||||19082.00|77.00|1341.13|20500.00||660000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Colorado_4DR|Colorado|Pickup 4dr DCab LT Z71 Man 6sp 4WD 2.8DCT|110|670000|02|2800|7|||1|5||||||||||||||||19082.00|77.00|1341.13|20500.00||670000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
